hydro_station_code,meteo_station_code,distance_km,proximity_rank
41203,AJJOHV01,32.41,1
41203,AJNARV01,34.34,2
41203,AJTIIR01,56.66,3
41920,AJVORU01,51.11,1
41920,AJTART01,59.37,2
41920,AJTIIR01,76.09,3
41925,AJTIIR01,2.05,1
41925,AJJOGE01,32.79,2
41925,AJTOOM01,39.19,3
41922,AJTART01,49.06,1
41922,AJTIIR01,50.45,2
41922,AJJOGE01,58.95,3
41191,AJVORU01,2.29,1
41191,AJTART01,55.56,2
41191,AJVALG01,56.53,3
86101,AJNIGU01,34.08,1
86101,AJPAKR01,35.11,2
86101,AJHELT01,46.62,3
86110,AJNIGU01,16.55,1
86110,AJHELT01,29.67,2
86110,AJVIRT01,42.86,3
26120,AJHELT01,0.31,1
26120,AJVIRT01,42.34,2
26120,AJNIGU01,45.14,3
86031,AJKIHN01,29.51,1
86031,AJPARN01,38.41,2
86031,AJRUHN01,76.23,3
26045,AJKUND01,0.96,1
26045,AJV-MA01,46.36,2
26045,AJJOHV01,53.07,3
86087,AJKUND01,48.24,1
86087,AJV-MA01,57.66,2
86087,AJHARK01,65.22,3
86120,AJSORV01,5.59,1
86120,AJROOM01,37.36,2
86120,AJVILS01,51.5,3
41801,AJNARV01,9.67,1
41801,AJJOHV01,39.61,2
41801,AJKUND01,84.69,3
86100,AJPAKR01,0.64,1
86100,AJHARK01,31.91,2
86100,AJNIGU01,46.27,3
86094,AJHARK01,14.62,1
86094,AJPAKR01,45.36,2
86094,AJKUUS01,55.31,3
41803,AJPARN01,1.3,1
41803,AJKIHN01,43.28,2
41803,AJVIRT01,59.9,3
26115,AJRIST01,0.56,1
26115,AJHELT01,57.06,2
26115,AJVILS01,61.45,3
26215,AJROOM01,0.19,1
26215,AJSORV01,42.74,2
26215,AJVILS01,44.43,3
26227,AJRUHN01,0.73,1
26227,AJKIHN01,54.34,2
26227,AJROOM01,66.24,3
26128,AJVIRT01,0.31,1
26128,AJHELT01,41.96,2
26128,AJNIGU01,45.39,3
