station_code,station_category,station_name,station_fullname,water_body,catchment_name,catchment_size_km2,distance_from_mouth_km,latitude,longitude,is_active
41070,monitoring,Tänassilma,Tänassilma hüdromeetriajaam,Tänassilma j.,Emajõgi,307.0,17.5,58.394902,25.822117,true
41156,monitoring,Uue-Lõve,Uue-Lõve hüdromeetriajaam,Lõve j.,Lõve jõgi,143.0,2.9,58.356544,22.834082,true
41117,monitoring,Valgu,Valgu hüdromeetriajaam,Velise j.,Kasari jõgi,121.0,42.0,58.817888,24.645014,true
41082,monitoring,Vanaküla,Vanaküla hüdromeetriajaam,Valgejõgi,Valgejõgi,308.0,27.2,59.467783,25.789245,true
41201,monitoring,Varangu,Varangu hüdromeetriajaam,Selja,Seljajõgi,376.0,18.2,59.472221,26.351556,true
41001,monitoring,Vasknarva,Vasknarva hüdromeetriajaam,Narva,Vääna jõgi,47807.0,72.1,59.001003,27.740386,true
41110,monitoring,Vihterpalu,Vihterpalu hüdromeetriajaam,Vihterpalu j.,Vihterpalu jõgi,478.0,2.6,59.25211,23.866549,true
41128,monitoring,Vodja,Vodja hüdromeetriajaam,Vodja j.,Pärnu jõgi,71.5,7.1,58.938982,25.644459,true
41905,water_level,Kulgu sadam,Kulgu sadam hüdromeetriajaam,Narva veehoidla,Narva jõgi,,,59.343576,28.172605,true
41203,water_level,Kuningaküla,Kuningaküla hüdromeetriajaam,Narva,Narva jõgi,47982.0,56.2,59.124454,27.803936,true
41920,water_level,Mehikoorma,Mehikoorma hüdromeetriajaam,Peipsi,,,,58.237748,27.474825,true
41925,water_level,Mustvee,Mustvee hüdromeetriajaam,Peipsi,,,,58.846978,26.952581,true
41922,water_level,Praaga,Praaga hüdromeetriajaam,Peipsi,Emajõgi,,,58.436297,27.235444,true
41191,water_level,Roosisaare,Roosissaare hüdromeetriajaam,Tamula,Võhandu jõgi,,,57.84683,26.980847,true
86101,coastal,Dirhami,Dirhami rannikumere veetasemejaam,,,,,59.211347,23.500702,true
86110,coastal,Haapsalu,Haapsalu rannikumere veetasemejaam,,,,,58.958024,23.527396,true
26120,coastal,Heltermaa,Heltermaa rannikumere veetasemejaam,,,,,58.866406,23.04687,true
86031,coastal,Häädemeeste,Häädemeeste rannikumere veetasemejaam,,,,,58.036677,24.45801,true
26045,coastal,Kunda,Kunda rannikumere veetasemejaam,Soome laht,,,,59.526419,26.543928,true
86087,coastal,Loksa,Loksa rannikumere veetasemejaam,,,,,59.583513,25.699016,true
86120,coastal,Mõntu,Mõntu rannikumere veetasemejaam,,,,,57.949496,22.124243,true
41801,coastal,Narva-Jõesuu,Narva-Jõesuu rannikumere veetasemejaam,Soome laht,,,,59.468375,28.042447,true
86100,coastal,Paldiski,Paldiski rannikumere veetasemejaam,,,,,59.349799,24.04756,true
86094,coastal,Pirita,Pirita rannikumere veetasemejaam,,,,,59.46887,24.820797,true
41803,coastal,Pärnu,Pärnu rannikujaam,,,,,58.381932,24.477156,true
26115,coastal,Ristna,Ristna rannikujaam,,,,,58.920824,22.056593,true
26215,coastal,Roomassaare,Roomassaare rannikumere veetasemejaam,,,,,58.216361,22.505609,true
26227,coastal,Ruhnu,Ruhnu rannikujaam,,,,,57.781036,23.27048,true
26128,coastal,Virtsu,Virtsu rannikujaam,,,,,58.574836,23.510173,true
